feature,0,1,2,3,4,5,6,7,8,9,10,11,12,pc1_ci_lower,pc1_ci_upper,pc2_ci_lower,pc2_ci_upper,pc3_ci_lower,pc3_ci_upper,pc4_ci_lower,pc4_ci_upper,pc5_ci_lower,pc5_ci_upper,pc6_ci_lower,pc6_ci_upper,pc7_ci_lower,pc7_ci_upper,pc8_ci_lower,pc8_ci_upper,pc9_ci_lower,pc9_ci_upper,pc10_ci_lower,pc10_ci_upper,pc11_ci_lower,pc11_ci_upper,pc12_ci_lower,pc12_ci_upper,pc13_ci_lower,pc13_ci_upper
rainfall_zscore,-0.7294559560422412,0.15967560756769048,0.1430765360460353,-0.25720670042293836,-0.5047882200160189,0.27605091157539613,0.07049867702053246,0.014831631706378683,-0.00541477358031894,0.023660947946057772,0.06102117065031851,-0.03858447601949559,0.00899652936355987,-0.7602019039690824,0.7611905261887032,-0.20524923112604357,0.222193934700823,-0.22192625555458534,0.2375362528555679,-0.3793089666959372,0.3802722376569244,-0.5807256748007837,0.582465980651846,-0.36822042200331306,0.3920278234008689,-0.14234289797714256,0.15735708538945345,-0.05282413939177922,0.05611388317455104,-0.04373277364121287,0.042375284350673,-0.06541039584994499,0.06909416694882056,-0.07946211314114719,0.08360097120887443,-0.0678179451487355,0.07172224829059219,-0.03122581211492787,0.029718866619990025
MAM_anomaly,-0.38589329285714213,0.11447578005411184,-0.5066812074607163,0.3220982616977983,-0.5666171608057367,0.026546269449106638,-0.1206886724974884,0.15950461284480294,0.05805085663715598,-0.036571793045003,0.11633849265946578,-0.18197336114378748,0.09400649467950949,-0.43666306066370686,0.43826738349456495,-0.23430273737170387,0.2482784614165212,-0.5732341578523342,0.5805196868418332,-0.46502198365282343,0.43684425347924877,-0.6373936353281401,0.6323432167203853,-0.132956624757876,0.15192409823700004,-0.1913121902847479,0.19908084500539913,-0.20876775085404334,0.2063821315146118,-0.12964488749038616,0.12419624816972544,-0.13370974713386247,0.13801387755497468,-0.19588936234868168,0.197960596795762,-0.21675594074973373,0.22869459666901662,-0.1368435782670071,0.14438853296473997
MAM_zscore,-0.321207999273083,0.1519641546191229,-0.481135129081212,0.30048376153436285,-0.6021134451705362,0.03514768018647347,-0.09892314737011489,0.18010744205005288,0.06422981149755189,-0.018647162761595067,0.12810606528310178,-0.21795534333021346,0.090456749360013,-0.37368246519114756,0.3748037494917264,-0.2669522230271828,0.28555213940199276,-0.5516248842200615,0.5570263917427356,-0.45157857387899447,0.42025076375406145,-0.6620600934744498,0.665967189773067,-0.14216749859473643,0.16357490794582583,-0.17668105392370853,0.18750089590069688,-0.23228310732624738,0.22555352690681185,-0.1487663817046384,0.14042499417797355,-0.13945534565581863,0.13969888452007254,-0.22295396619394184,0.2240582159784696,-0.2527928627598197,0.26364553504647625,-0.1416648751433384,0.14171605298744056
SON_anomaly,-0.6100995326603368,-0.004571289685609902,0.3032288588654097,-0.4888147478947148,-0.25221248588339834,-0.11420421307230519,0.37876217330232215,0.008149782339882769,0.10206908372108288,0.10412637059264282,0.0052300688046622865,0.06410631610924153,-0.03448784321418484,-0.6637241624846141,0.6653244318299526,-0.10857786441682084,0.12888577114522443,-0.3795136434640872,0.4074544949025805,-0.5534195147382036,0.5518224048840656,-0.3621009006676657,0.338907279455476,-0.24962646994390295,0.23572730150697463,-0.420435058832925,0.41525346572282473,-0.08229018931136589,0.08721214544855764,-0.14442742607896844,0.1447887673388285,-0.14086034452658913,0.1418958261430559,-0.09865390922959424,0.09774432023073253,-0.09922907167361548,0.10390475082236532,-0.07679373149579623,0.07263744145783234
SON_zscore,-0.5507536888531323,0.028385566103532343,0.323830271140594,-0.463196702441685,-0.310377859927358,-0.0790653143256807,0.4107981328991602,-0.0009402091277063088,0.12971798646682742,0.08720388739692468,0.0007238792255912957,0.05626273841211385,-0.004905704321356882,-0.5998159205956152,0.6001224485833756,-0.11292014212811027,0.13634673430185035,-0.40136734077572667,0.4178201051501109,-0.538609588425563,0.5391167550871104,-0.41789571606593284,0.39306171342451324,-0.23332141715477886,0.21726043302063644,-0.4528735855890295,0.4496455448000144,-0.08565414392148328,0.0976912983897617,-0.16811423589298075,0.16984845715383812,-0.1363162763498577,0.13559863991261542,-0.09059367007226529,0.0874639408625487,-0.09137055237934248,0.10313348988383694,-0.0609607598943821,0.060633110351245224
DJF_anomaly,-0.29064788326109725,0.18371151344405293,0.31292810917031016,-0.12508746878840737,0.10700677675655706,0.7448488019849681,-0.1345451239591554,0.0904301916476962,-0.03045530917309558,0.21437000075373297,-0.009904096572484573,-0.22954214922760563,-0.12323314698001343,-0.34946917370750175,0.34612421642941776,-0.25236244754630816,0.26947330253221474,-0.3929584011314578,0.3855201442346305,-0.22260242295740879,0.21900325404712742,-0.28825611239432036,0.337917362320939,-0.7694075047935486,0.7691724505304716,-0.2937580165812207,0.27489610564691613,-0.16840417411901223,0.15789561425606818,-0.13569884490152315,0.15740867472116676,-0.2638212591899521,0.2571130628144669,-0.2364328556172308,0.22797575811767942,-0.2702232133005726,0.27799338497268683,-0.17009392868018,0.1772921718507759
DJF_zscore,-0.2568795372971705,0.1527847031936777,0.3478807688314095,-0.14736780296762647,0.08667886039773352,0.7494232822484274,-0.1737511574412974,0.1212286662178744,-0.042139748240639346,0.11962483686897592,-0.006475089165783399,-0.23405174670881335,-0.15766692060321535,-0.3122477052140649,0.30669751572225656,-0.24044301978157337,0.2512572538338259,-0.4223177305522045,0.4116183754956794,-0.24978002390782778,0.2451924810224467,-0.26618929028961286,0.31260725917587207,-0.7778712511194061,0.7805972902768658,-0.327573191494614,0.32234192705971776,-0.19908745123300733,0.18226146941801874,-0.11592818580747659,0.12069683381762707,-0.1791276144023768,0.18228376617089742,-0.1896152578906523,0.18855299632798228,-0.2665293518860186,0.2677967537398907,-0.1883503824283269,0.195263280341289
JJA_anomaly,-0.6003763915479344,0.04313222967258149,0.20606368863406055,-0.30019771442823706,-0.278254403765797,0.19011747094448542,-0.201458599044234,-0.2414082986182549,-0.2745401152788315,-0.20027199275193638,0.04652232742533558,0.2633572340723532,0.011927360080968508,-0.6442050666877396,0.6417330559927812,-0.11068942458867168,0.12477106314381789,-0.2680877770132026,0.2817272225748062,-0.3838502755812399,0.38275957691366785,-0.38115322976789334,0.37473967794895946,-0.2775611228510577,0.2773787761594389,-0.2764885667542432,0.28529636450175694,-0.3555528441453516,0.3674868069666798,-0.3730380162967707,0.3664364495572558,-0.31527041611617107,0.29320947074945064,-0.27561381013604086,0.24912452244469913,-0.30615433907185796,0.3162290992941783,-0.13224952820649227,0.16302452722159463
JJA_zscore,-0.5966671233626863,0.054123967493997796,0.2473529286531621,-0.2648341447117404,-0.29693332979248177,0.2317691487133767,-0.1597406535007115,-0.24838343834733456,-0.2559358119848173,-0.17761911131409291,0.014570380327194444,0.2579122466902738,0.06091826671270439,-0.6325324274842503,0.6332084802514206,-0.12155009954084106,0.13414210854339062,-0.30787135436081065,0.3163833061357936,-0.3485250558535602,0.3498895122545428,-0.3933986615524522,0.39750565758336726,-0.3124247141402062,0.31421205485150877,-0.23502923322934927,0.2508394608329919,-0.3504151020609957,0.3672849362642294,-0.34907051484922813,0.3495003775207094,-0.28170817186816804,0.2651288977912736,-0.25577795145912596,0.23502582562115146,-0.3079173216586295,0.3011084401842694,-0.16869177420946208,0.18069669287738324
first_season_total_mm,-0.7971037385187995,-0.1983463054405498,-0.3426198046941202,0.38336022049977425,-0.15057677907968633,0.03596992697281262,0.0022688203849939633,-0.005802418506990758,0.009018134588350863,-0.08790682893559718,0.013981077228936205,-0.03425247891347849,-0.016378509699317794,-0.8224838837992372,0.8194510572058197,-0.3123570693823781,0.2849189975829543,-0.4087886579901141,0.41357872699588577,-0.4438511910208974,0.43395022132216843,-0.20860576534808384,0.20876365783435177,-0.07849634085541826,0.0776970613220587,-0.034116290121614185,0.03308415296503449,-0.03368492342757498,0.03509573567134081,-0.055745512504103395,0.04861811264904083,-0.09821645812272968,0.09775794965226234,-0.07724293297267613,0.08094900937967969,-0.05837927450852045,0.06114913353948125,-0.03966715226713915,0.03911417504231311
