fold,feature,importance_mean,importance_std,model,feature_space
3,bulk_density,-0.126610193048435,0.04754259037593336,ols,raw
3,cation_exchange_capacity,5.958102856984483,0.6562279036716079,ols,raw
3,soil_ph_sd,-0.030925464252145218,0.011521508174297476,ols,raw
3,soil_organic_carbon_sd,1.278515189386154,0.3017463014283881,ols,raw
3,clay_pct_sd,0.8148395124417966,0.21605291179794234,ols,raw
3,sand_pct_sd,0.4902371789762071,0.1692469547255576,ols,raw
3,silt_pct_sd,0.17186912949086236,0.03952914601076992,ols,raw
3,bulk_density_sd,7.965169007208239,0.9659728169740043,ols,raw
3,cation_exchange_capacity_sd,-0.13422948924787442,0.04312489215279232,ols,raw
3,season,20.53144095108508,1.446747053500395,ols,raw
3,crop,0.1716451664322019,0.05806952456748828,ols,raw
4,rain_total_mm,-146.82795676753238,53.2892562734572,ols,raw
4,rainy_days_1mm,241.14593468093616,14.752416677910396,ols,raw
4,heavy_rain_days_20mm,228.3880698713659,24.990918598372314,ols,raw
4,maximum_5day_rainfall_mm,52.22350916658902,5.456836517957795,ols,raw
4,longest_dry_spell_days,45.516059597618415,4.80339581090537,ols,raw
4,wet_day_rainfall_cv,140.5034822871665,14.51640366333648,ols,raw
4,temperature_mean_c,2340.1643056900625,107.93162365316988,ols,raw
4,temperature_maximum_c,31.89735511191593,4.515627119850745,ols,raw
4,growing_degree_days,2307.959362730081,77.31080883774591,ols,raw
4,heat_days_32c,0.0,0.0,ols,raw
4,soil_ph,-32.551402727426606,2.679367430558687,ols,raw
4,soil_organic_carbon,-146.36840895054806,13.382761270765092,ols,raw
4,clay_pct,-2.333343546635251,0.5951672813407366,ols,raw
4,sand_pct,260.9891953501983,17.029789730824792,ols,raw
4,silt_pct,332.56766070218356,21.72123902744931,ols,raw
4,bulk_density,718.072817091318,39.2915449559051,ols,raw
4,cation_exchange_capacity,-194.6859613058569,19.88720043369597,ols,raw
4,soil_ph_sd,9.315580979155197,25.570827609245523,ols,raw
4,soil_organic_carbon_sd,91.06534771940952,9.399089464802882,ols,raw
4,clay_pct_sd,-116.78493398715186,13.327070305845375,ols,raw
4,sand_pct_sd,23.012519835653848,1.8516040837043792,ols,raw
4,silt_pct_sd,-186.41191982424732,32.16379791069759,ols,raw
4,bulk_density_sd,-150.1648909419551,15.078700555704632,ols,raw
4,cation_exchange_capacity_sd,-235.1349710269983,25.046869900113514,ols,raw
4,season,1224.7337228301365,123.06276077405674,ols,raw
4,crop,-0.17640515229008996,0.3044356699432788,ols,raw
5,rain_total_mm,-0.09012096418879807,0.051025297838324817,ols,raw
5,rainy_days_1mm,-0.009456908846997791,0.047208531886113084,ols,raw
5,heavy_rain_days_20mm,0.30549411852970676,0.08831954268169497,ols,raw
5,maximum_5day_rainfall_mm,0.06656324604562229,0.011359236762652873,ols,raw
5,longest_dry_spell_days,-0.052697332647529294,0.014651029360692604,ols,raw
5,wet_day_rainfall_cv,0.21953775218242982,0.054902697774851995,ols,raw
5,temperature_mean_c,1.3224899629914482,0.1639358595722517,ols,raw
5,temperature_maximum_c,0.1394844455965604,0.07392536816131735,ols,raw
5,growing_degree_days,14.328166215385213,1.0473618285902349,ols,raw
5,heat_days_32c,0.14783329082062197,0.056837173086146484,ols,raw
5,soil_ph,-0.05302617685030349,0.04664778509280055,ols,raw
5,soil_organic_carbon,0.22024926972315556,0.05170517504370408,ols,raw
5,clay_pct,0.044852559802763634,0.010618798750929264,ols,raw
5,sand_pct,0.009423213641217742,0.00223496247314661,ols,raw
5,silt_pct,0.01574872715412532,0.003734009468735567,ols,raw
5,bulk_density,-0.009537246327306547,0.0022642363506421874,ols,raw
5,cation_exchange_capacity,-0.1257689866651049,0.030053441186263956,ols,raw
5,soil_ph_sd,-0.08306194710228247,0.019798612238036126,ols,raw
5,soil_organic_carbon_sd,0.36915304392397597,0.08607612544900635,ols,raw
5,clay_pct_sd,-0.03470925614156748,0.008251304124178295,ols,raw
5,sand_pct_sd,0.7820821816290554,0.17916063342720354,ols,raw
5,silt_pct_sd,-0.12131048669733921,0.028980210424103706,ols,raw
5,bulk_density_sd,-0.18614569466932984,0.056301203669910226,ols,raw
5,cation_exchange_capacity_sd,-0.1701930588750173,0.04078510703623053,ols,raw
5,season,8.01542511592297,1.0813970249724143,ols,raw
