feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
DJF_tmin,0.2352541573739526,-0.038688822013409896,0.06705269882252117,0.048611892469857566,-0.1317712332310319,0.029143184421974055,-0.07219010573658162,0.017993515708191368,-0.11121245178473674,0.06871346693768748,0.47033606694229496,-0.02808081710924662,-0.010812314651571706,-0.017441099235977114,-0.4134780570587592,-0.23332729481433118,-0.45416988716680956,-0.13433484397405632,-0.1774322824323544,-0.3687687664174809,0.022471638737048192,0.03823486488362737,0.01222980716979213,-0.04262588009519098,-4.3298697960381105e-15,-0.20456752788490026,0.09898708692611473,-0.0008690282254146638,0.00012040286455719541,-0.0006561661428763644,2.4642950455657933e-05,-2.1976799597407037e-13,1.0454412526261185e-17,6.514804250740367e-18,1.0004718683950373e-21,5.8536899580529955e-27,-0.01614010135416572
DJF_gdd,0.23842623011627814,-0.026177165726213064,0.0745903906703246,0.08748519315352457,-0.15259308202236843,-0.00571570209357259,-0.027509787868416125,-0.03279021383132463,0.27207769678722443,0.24538717040687658,0.0755127618924231,0.03570311856974159,0.03562458351295934,0.0790852641145179,-0.1631274273936095,-0.1191985251429952,-0.17990305842768073,-0.06230200375925615,-0.010350651822347387,0.7859075820606951,-0.04561215194685758,-0.08123110744521098,-0.022250094259652523,-0.024325057840802775,1.1719791803699309e-14,0.022828987505469512,0.0003346906758447183,0.01478388191937978,0.0034245481299268192,-0.011436797295696122,0.0003540206019261408,7.480239491214168e-13,2.4627611562409784e-18,5.900202125516068e-19,1.437277632909166e-20,8.409406861999588e-26,-0.22335576011147487
DJF_heat_stress,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,1.3161152622249642e-05,-0.0,-2.7259787714440003e-05,-8.400826148409307e-05,0.0007402000859148569,-0.0019475873434716294,0.031451262335007946,0.9995031110508992,-1.0776128334896083e-07,1.2094743256537508e-14,-8.964898160086537e-15,4.0578522185761646e-17,2.3742277870492354e-22,-1.1435437700273054e-05
DJF_cold_stress,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,1.7383317008068389e-13,-0.0,1.9934547068611863e-11,4.137688802696715e-11,1.1120836196365502e-10,-2.5093627176175914e-10,3.4164191128893684e-09,1.0770678382510113e-07,0.9999999999882473,3.7400937082495008e-06,3.083206742998112e-06,6.611095525396014e-17,-6.807589014533056e-21,4.723346713753074e-12
JJA_tmax,0.2292086109222148,-0.042106522240269256,0.08543251182387063,0.14974649488802447,0.15806846595655305,0.07609116398351068,0.10236974442912931,-0.21692218264296834,-0.17981407916484685,0.14686887577504196,0.045192623670792686,-0.37717287620904416,-0.31613998371732427,0.06416643517754989,0.30294750642779783,0.2491425517831807,-0.0790483063224982,-0.3537765102955986,-0.032498751477031504,-0.01036715875311919,-0.18546491433466306,-0.10152023973583038,-0.36486880255324416,-0.24157630422358703,2.8171909249863347e-15,0.039268564925208804,-0.017980904011634623,-0.002064087805458891,-8.487496351776556e-05,0.0030530519453318894,-9.162291441480769e-05,-4.922741437763052e-13,-2.325360912587453e-18,-1.4849384924898916e-18,-3.7197712803787235e-21,-2.1764108927400946e-26,0.0300016692900949
JJA_tmin,0.23985958941891805,-0.03637359364019006,0.03245188421880432,-0.016643188325705757,-0.04784231654529306,0.008515280586096845,-0.009614083833299347,-0.009391262478047821,0.0073334030656096675,-0.21044103663661873,0.00466084477041304,0.2660092702443402,-0.5142076558492826,0.1288230533968957,-0.2602478588020824,-0.10711671302509561,0.34651360000691944,0.3248332553027278,0.16983941260927124,-0.015985989770708378,-0.16883687373816603,-0.09185578158629568,-0.33750374081526907,-0.04367458752909476,1.6028844918025698e-15,-0.20960042073648683,0.1014224265293274,-0.000890408578337831,0.0001233650879485134,-0.0006723095353504899,2.5249231083277735e-05,-2.2506518349174207e-13,1.0712010175755656e-17,6.675279061672114e-18,1.0250860765678195e-21,5.997705944134511e-27,-0.016537189795188333
JJA_gdd,0.2418830249845097,-0.04081785838594536,0.06197560096168661,0.07339698414740177,0.06102482871225097,0.045205141087169706,0.051600036950311325,-0.12250786262725519,-0.0931689635298295,-0.02373123583776325,0.027279086485520868,-0.07526485173530166,-0.42418567051206346,0.10326972035720253,0.035531063848375684,0.08367962957189141,0.12352929723191503,-0.02511187877697281,0.0790762006076561,0.006139480293807603,0.34568413882700083,0.18785652772023168,0.6767365822612336,-0.02578311766808079,-4.739264536368637e-15,0.024197371901313013,0.00035475225322987994,0.01567003744094629,0.0036298177776959133,-0.01212232638257312,0.00037524082763261695,7.926382133483727e-13,2.60958456055756e-18,6.2499296864727895e-19,1.5234289913516463e-20,8.913472192471446e-26,-0.23674385000405598
JJA_heat_stress,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-5.080322184977042e-16,1.1712052616825449e-15,-1.5515355409878993e-14,-4.933138905990788e-13,-4.497770892305983e-06,0.9531104012851052,0.3026228063810062,2.888395228270752e-12,6.591329148882186e-17,-0.0
JJA_cold_stress,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,4.006753624996091e-16,-5.7860572529512806e-15,-1.823840354771587e-13,-1.8067987618453265e-06,-0.302622806391319,0.9531104012907307,4.0297587769631485e-12,-6.518287703603882e-17,-0.0
annual_tmax,0.2452554099979498,-0.031574782918839146,0.052263276891815036,0.05040347781964589,-0.041723776852761595,-0.00015374305420161327,0.08319639324103789,-0.024551240635912644,0.034768851828044775,0.10984188057850884,-0.15437221561177625,-0.1390848862528581,-0.04131947347565451,-0.07932520600227776,0.17707408155641596,-0.10102903196221616,-0.01704823842795857,-0.015024986578940809,-0.031100846366149307,-0.11200529863061398,-0.08948162839715135,-0.1395559247229081,-0.026387310111230133,0.860708323557237,2.983724378680108e-16,-0.13990933752324416,0.0640638733075147,0.007354105198457136,0.00030239964054254247,-0.010877669604417661,0.00032644180611534967,1.754336179582631e-12,8.286493827364405e-18,5.291406173329692e-18,1.3253113185294542e-20,7.754299316891219e-26,-0.10689246431514052
