district,lat,lon,year,month,rainfall_mm,temp_c
mubende,0.59,31.37,2022,1,1.57,22.49
mubende,0.59,31.37,2022,2,1.16,22.58
mubende,0.59,31.37,2022,3,3.34,23.47
mubende,0.59,31.37,2022,4,3.82,21.85
mubende,0.59,31.37,2022,5,3.19,20.83
mubende,0.59,31.37,2022,6,1.49,20.05
mubende,0.59,31.37,2022,7,1.27,20.82
mubende,0.59,31.37,2022,8,5.49,20.65
mubende,0.59,31.37,2022,9,5.23,20.71
mubende,0.59,31.37,2022,10,4.63,20.91
mubende,0.59,31.37,2022,11,5.04,20.36
mubende,0.59,31.37,2022,12,3.18,20.69
mubende,0.59,31.37,2022,13,3.29,21.28
mubende,0.59,31.37,2023,1,0.64,22.18
mubende,0.59,31.37,2023,2,0.88,24.01
mubende,0.59,31.37,2023,3,7.12,21.44
mubende,0.59,31.37,2023,4,4.66,20.75
mubende,0.59,31.37,2023,5,2.42,21.0
mubende,0.59,31.37,2023,6,2.01,21.03
mubende,0.59,31.37,2023,7,0.86,20.87
mubende,0.59,31.37,2023,8,1.45,22.51
mubende,0.59,31.37,2023,9,6.54,21.87
mubende,0.59,31.37,2023,10,4.56,21.11
mubende,0.59,31.37,2023,11,5.52,20.79
mubende,0.59,31.37,2023,12,2.44,21.82
mubende,0.59,31.37,2023,13,3.26,21.6
