district,lat,lon,clay,sand,silt,soc,bdod,cec,phh2o,yield_source,rainfall_source,temperature_source,soil_source,soil_moisture_source,yield_granularity,is_proxy,is_imputed,data_quality_score,data_quality_note
Namutumba,0.7944023639261478,33.71814581780439,42.53333333333333,34.4,23.05,24.433333333333334,1.3216666666666665,20.5,5.8,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Bududa,1.0435111127569587,34.40505864267179,44.25,29.05,26.7,42.61666666666667,1.0666666666666667,21.05,5.516666666666667,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Bukwo,1.2922492998158397,34.69608578352513,41.483333333333334,32.86666666666667,25.65,41.15,1.1483333333333332,23.966666666666665,5.9,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Bulambuli,1.344303672909069,34.332707796406645,40.41666666666667,37.2,22.43333333333333,26.266666666666662,1.2483333333333333,23.03333333333333,6.016666666666667,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kapchorwa,1.3459080440216822,34.44711805903888,40.7,36.25,23.0,57.88333333333334,1.0666666666666667,24.866666666666667,5.55,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kween,1.4569156609849714,34.54439195173715,41.46666666666667,36.13333333333333,22.35,26.833333333333336,1.2366666666666668,22.9,6.05,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Manafwa,0.9040155096872904,34.28216847933992,37.65,36.68333333333333,25.7,27.583333333333332,1.1933333333333334,22.35,5.9,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Mbale,1.0294927840258596,34.213690997489344,40.1,35.05,24.85,30.18333333333333,1.2233333333333334,19.033333333333335,5.816666666666666,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Sironko,1.1830235417392074,34.32507966057993,42.46666666666667,34.266666666666666,23.183333333333334,29.016666666666662,1.2383333333333335,22.5,5.9,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Abim,2.65183532206906,33.7716142764045,38.61666666666667,39.91666666666667,21.45,21.35,1.2666666666666666,25.65,6.2,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
