crop,sub_region,area_planted_ha,production_mt,yield_over_planted,area_harvested_ha,cv_production_pct,yield_over_harvested,year,harvest_loss_ratio,yield_source,rainfall_source,temperature_source,soil_source,soil_moisture_source,yield_granularity,is_proxy,is_imputed,data_quality_score,data_quality_note
groundnuts,Busoga,51362.0,22942.0,0.4,19161.0,27.4,0.5,2018,0.6269420972703554,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
groundnuts,Elgon,13370.0,6621.0,0.5,2909.0,56.2,0.5,2018,0.7824233358264772,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
groundnuts,Karamoja,33039.0,14228.0,0.4,5934.0,51.3,0.4,2018,0.8203940797239626,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
groundnuts,Kigezi,12995.0,6138.0,0.5,5026.0,40.2,0.4,2018,0.6132358599461332,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
groundnuts,Lango,36371.0,13919.0,0.4,12923.0,25.6,0.3,2018,0.6446894503862968,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
groundnuts,North Buganda,42593.0,22274.0,0.5,15928.0,17.5,0.6,2018,0.6260418378606813,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
groundnuts,South Buganda,20736.0,11040.0,0.5,11808.0,19.8,0.5,2018,0.4305555555555556,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
groundnuts,Teso,51095.0,22101.0,0.4,4688.0,59.0,0.4,2018,0.9082493394657012,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
groundnuts,Tooro,41748.0,23152.0,0.6,20689.0,14.6,0.6,2018,0.5044313500047907,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
groundnuts,West Nile,41920.0,22278.0,0.5,18752.0,23.7,0.6,2018,0.5526717557251908,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
