spatial_unit,date,rain_mm
South Buganda,2016-06-07,0.0
South Buganda,2016-06-08,0.0
South Buganda,2016-06-09,0.0
South Buganda,2016-06-10,0.0
South Buganda,2016-06-11,0.0
South Buganda,2016-06-12,0.3351101477940877
South Buganda,2016-06-13,0.6432504256566366
South Buganda,2016-06-14,0.0
South Buganda,2016-06-15,5.9035234451293945
South Buganda,2016-06-16,0.0
South Buganda,2016-06-17,2.7093544205029807
South Buganda,2016-06-18,8.647066791852316
South Buganda,2016-06-19,1.624345024426778
South Buganda,2016-06-20,2.7390489180882773
South Buganda,2016-06-21,4.15414164463679
South Buganda,2016-06-22,3.4359430273373923
South Buganda,2016-06-23,3.0550798575083413
South Buganda,2016-06-24,1.5730422337849932
South Buganda,2016-06-25,0.0
South Buganda,2016-06-26,0.0
South Buganda,2016-06-27,0.0
South Buganda,2016-06-28,0.0
South Buganda,2016-06-29,0.0
South Buganda,2016-06-30,0.0
South Buganda,2016-07-01,0.0
South Buganda,2016-07-02,0.0
South Buganda,2016-07-03,0.0
South Buganda,2016-07-04,0.0
South Buganda,2016-07-05,0.0
South Buganda,2016-07-06,0.0
South Buganda,2016-07-07,0.188141405582428
South Buganda,2016-07-08,0.0
South Buganda,2016-07-09,0.0
South Buganda,2016-07-10,0.0
South Buganda,2016-07-11,0.0
South Buganda,2016-07-12,0.0
South Buganda,2016-07-13,0.0
South Buganda,2016-07-14,0.0
South Buganda,2016-07-15,0.0
South Buganda,2016-07-16,0.9430647293726603
South Buganda,2016-07-17,1.43569016456604
South Buganda,2016-07-18,0.0
South Buganda,2016-07-19,0.0
South Buganda,2016-07-20,2.5156027475992837
South Buganda,2016-07-21,0.5678914785385132
South Buganda,2016-07-22,1.6465190450350444
South Buganda,2016-07-23,0.4309964676698049
South Buganda,2016-07-24,1.3002445499102275
South Buganda,2016-07-25,3.6435931622982025
South Buganda,2016-07-26,0.0
South Buganda,2016-07-27,2.768051564693451
South Buganda,2016-07-28,5.475441475709279
South Buganda,2016-07-29,0.0
South Buganda,2016-07-30,0.2769068479537964
South Buganda,2016-07-31,0.2769068479537964
South Buganda,2016-08-01,0.0
South Buganda,2016-08-02,0.0
South Buganda,2016-08-03,4.474490761756897
South Buganda,2016-08-04,3.167212168375651
South Buganda,2016-08-05,4.654567360877991
South Buganda,2016-08-06,7.711066087086995
South Buganda,2016-08-07,4.001965761184692
South Buganda,2016-08-08,6.859108765920003
South Buganda,2016-08-09,3.6139327685038247
South Buganda,2016-08-10,1.225768009821574
South Buganda,2016-08-11,0.0
South Buganda,2016-08-12,1.1661392052968342
South Buganda,2016-08-13,0.0
South Buganda,2016-08-14,2.066139340400696
South Buganda,2016-08-15,0.7147003014882406
South Buganda,2016-08-16,0.42495115598042804
South Buganda,2016-08-17,0.0
South Buganda,2016-08-18,0.0
South Buganda,2016-08-19,0.0
South Buganda,2016-08-20,0.0
South Buganda,2016-08-21,0.0
South Buganda,2016-08-22,5.661004920800527
South Buganda,2016-08-23,1.4183254837989807
South Buganda,2016-08-24,2.0331598122914634
South Buganda,2016-08-25,0.0
South Buganda,2016-08-26,0.0
South Buganda,2016-08-27,0.0
South Buganda,2016-08-28,0.0
South Buganda,2016-08-29,0.0
South Buganda,2016-08-30,0.0
South Buganda,2016-08-31,0.0
South Buganda,2016-09-01,0.5443134705225626
South Buganda,2016-09-02,0.0
South Buganda,2016-09-03,0.0
South Buganda,2016-09-04,0.0
South Buganda,2016-09-05,0.0
South Buganda,2016-09-06,1.4137681722640991
South Buganda,2016-09-07,1.4328089157740276
South Buganda,2016-09-08,12.286014437675476
South Buganda,2016-09-09,0.0
South Buganda,2016-09-10,1.893405795097351
South Buganda,2016-09-11,0.0
South Buganda,2016-09-12,4.360160867373149
South Buganda,2016-09-13,0.0
South Buganda,2016-09-14,5.833473642667134
South Buganda,2016-09-15,1.1439756949742634
South Buganda,2016-09-16,9.561827659606934
South Buganda,2016-09-17,1.3409202496210735
South Buganda,2016-09-18,7.423156023025513
South Buganda,2016-09-19,9.732349077860514
South Buganda,2016-09-20,0.0
South Buganda,2016-09-21,0.7866582075754801
South Buganda,2016-09-22,0.0
South Buganda,2016-09-23,3.7217073241869607
South Buganda,2016-09-24,5.940401554107666
South Buganda,2016-09-25,1.5121657252311707
South Buganda,2016-09-26,15.007014433542887
South Buganda,2016-09-27,7.694233536720276
South Buganda,2016-09-28,12.662719885508219
South Buganda,2016-09-29,4.307796319325765
South Buganda,2016-09-30,0.6214521328608195
South Buganda,2016-10-01,9.281063973903656
South Buganda,2016-10-02,6.813687880833943
South Buganda,2016-10-03,8.072181940078735
South Buganda,2016-10-04,4.895905236403148
South Buganda,2016-10-05,7.272382915019989
South Buganda,2016-10-06,5.765603105227153
South Buganda,2016-10-07,8.65283461411794
South Buganda,2016-10-08,0.7786126136779785
South Buganda,2016-10-09,0.0
South Buganda,2016-10-10,0.0
South Buganda,2016-10-11,1.6089962323506672
South Buganda,2016-10-12,0.0
South Buganda,2016-10-13,0.0
South Buganda,2016-10-14,0.0
South Buganda,2016-10-15,0.6615323623021444
South Buganda,2016-10-16,1.5809981028238933
South Buganda,2016-10-17,3.949620008468628
South Buganda,2016-10-18,5.1379280885060625
