district,clim_annual_mean,clim_annual_std,clim_MAM_mean,clim_MAM_std,clim_SON_mean,clim_SON_std,clim_DJF_mean,clim_DJF_std,clim_JJA_mean,clim_JJA_std
Bududa,1628.0988807678223,165.3962043527469,538.964111328125,88.62316072671491,455.92393493652344,99.39243442437738,171.8895149230957,70.82922576722413,461.3213195800781,67.86902499309906
Bukwo,1424.6191787719727,161.25984192211686,431.3395538330078,75.12920329276871,395.57901763916016,106.65341863188176,141.09243774414062,56.470906322168005,456.60816955566406,76.13425288676216
Bulambuli,1507.2803039550781,143.3255189677848,493.54246520996094,76.83263071809439,409.7333984375,82.11347095557625,134.43890380859375,50.761555129378245,469.56553649902344,72.93554450881005
Kapchorwa,1797.9484558105469,176.4365145170811,548.6669692993164,87.66430017337066,536.9942932128906,113.20833379894837,155.66869354248047,58.3499761871972,556.6184997558594,84.99392665048916
Kween,1150.2905006408691,120.06291808771485,383.60118103027344,70.21194088022662,274.0122985839844,61.44554335452596,104.70296096801758,43.16812608555508,387.97406005859375,62.01891445113804
Manafwa,1558.0888633728027,149.05008763286966,542.5566101074219,80.42058287623385,444.13282775878906,86.58007634525109,170.29526138305664,67.03135366369335,401.10416412353516,61.31187877790314
Mbale,1949.167881011963,189.2730103095365,644.4556732177734,102.1410378707296,591.0565948486328,110.18187977589714,206.83211135864258,83.20705644165902,506.82350158691406,79.54885254790543
Sironko,1665.0650482177734,152.90026766794674,515.3032379150391,77.44110963665918,493.6613540649414,91.58768016132828,161.01360321044922,60.78330813315944,495.08685302734375,72.79047112245067
Abim,1186.687587738037,126.35298945159208,368.7107162475586,65.03119564241977,301.3356704711914,77.50703602385802,65.6849479675293,28.11792467644479,450.9562530517578,70.27135415912814
Amudat,975.2217245101929,118.88551739885614,333.9163055419922,67.02951749171005,247.35912322998047,70.09006785926991,67.71331691741943,31.7811727756596,326.2329788208008,60.976630576876545
Kaabong,832.6118445396423,134.23317432557195,254.1485252380371,56.19271043461061,167.42491912841797,56.01752300123605,35.02929067611694,15.327063510486878,376.0091094970703,107.18228689705629
Kotido,910.6286668777466,118.5440509610316,281.08394622802734,53.14728269294826,200.58920288085938,60.38970550274467,43.7147798538208,18.955574670460948,385.24073791503906,84.981339238752
Moroto,821.0935001373291,115.76399612286725,313.3993835449219,77.08173313093674,169.59435653686523,53.27516262626624,52.86237907409668,24.727498432471258,285.2373809814453,63.324695690412064
Nakapiripirit,1251.1885013580322,137.1181127739222,411.05078887939453,74.68453946225682,348.32542419433594,86.59823980243448,98.7248477935791,42.423290877521055,393.08744049072266,62.64667325751579
Napak,896.8624505996704,101.54868921256107,296.5818977355957,57.84760611673155,207.0005989074707,54.8920931350214,54.09359073638916,24.808367575884215,339.18636322021484,57.76844949302996
Kabale,1000.5234813690186,97.70059312621952,365.4513244628906,62.71156319210041,342.306884765625,48.129828007938464,212.89036178588867,46.9684299167262,79.87491035461426,33.01744972438258
Kanungu,1092.3382511138916,95.73222300574253,316.75450134277344,41.620969087363534,399.8475570678711,51.18682402502452,213.19120407104492,41.56947338289658,162.54498863220215,55.53594676198267
Kisoro,1260.154592514038,115.88265930707074,379.37957763671875,45.63102560928693,410.4447708129883,53.50256005215626,298.127685546875,70.42397766059322,172.20255851745605,59.36783361593135
Rubanda,1120.9793243408203,98.02756183904093,356.0054244995117,48.1363590767494,398.4702911376953,53.36210905601549,238.39385223388672,51.02488299176305,128.10975646972656,42.90967778615963
Rukungiri,1133.9733848571777,100.4488699113891,326.9974365234375,46.55536510146072,405.8276138305664,54.78163466690542,241.40132904052734,46.39554607599536,159.74700546264648,52.62128138193483
Alebtong,1405.1541576385498,138.50699588019253,424.2862777709961,71.55402066137925,371.5039749145508,75.66661058995258,82.39359855651855,32.45048362245839,526.9703063964844,85.35654743160374
Amolatar,1103.088207244873,92.5471901471098,377.5447006225586,54.82521682083267,364.36280059814453,54.84638910442924,93.63373184204102,29.488224873129376,267.5469741821289,41.00605078169909
Apac,1247.337438583374,104.3220950265697,410.9770050048828,61.11428662609696,395.7754211425781,57.13495698739386,104.5362606048584,37.98181096354928,336.0487518310547,49.40771404238172
Dokolo,1343.7230339050293,126.98174147985996,423.0899429321289,63.1046594199563,422.3636932373047,75.7870841852272,102.77139663696289,37.459449586254784,395.4980010986328,70.67723916612357
Kole,1373.7518157958984,115.87145789700607,417.2255172729492,60.66719505196344,416.42308807373047,68.60827204817234,91.85847473144531,35.803961656716304,448.24473571777344,61.29165959535632
Lira,1288.7140274047852,111.65787793697663,395.4984359741211,63.35827427579309,366.30919647216797,61.64465001421742,74.69725799560547,29.303932174876376,452.2091369628906,61.5989242592518
Otuke,1340.7040271759033,133.0965354867778,401.4327621459961,68.74132898129359,344.1426544189453,76.18479942242351,72.67470741271973,28.393379867802935,522.4539031982422,79.86870328931359
Oyam,1344.8377094268799,119.04368183298463,406.27684020996094,62.77490776835385,457.1007080078125,81.08061868710064,79.55298042297363,28.879480477313702,401.9071807861328,53.12831655252204
Buikwe,1319.4656372070312,128.2296654962768,473.8937530517578,67.38883734275123,379.5106658935547,78.49929509721622,234.35986328125,63.25217720456976,231.70135498046875,41.696696068167434
Buvuma,1442.553596496582,137.64943106730337,591.8919677734375,84.65061840834929,357.0946502685547,69.83759967068039,280.7971649169922,74.09135803703744,212.76981353759766,37.61407997946575
Kayunga,1282.5394744873047,106.14646182140768,466.14173126220703,56.61281932039276,393.93359375,65.30205578867474,163.12734985351562,46.737334324960855,259.33679962158203,40.16619394179355
Kiboga,1203.4435958862305,109.15368051183385,419.6200408935547,57.36611172237067,405.010498046875,73.3674965610626,158.1417465209961,39.8641384937588,220.6713104248047,40.64131033380777
Kyankwanzi,1122.3935222625732,98.52187892987028,376.9679412841797,51.04652765280145,389.7086410522461,66.65430895350973,124.17539024353027,35.55128362639336,231.5415496826172,37.337942805002015
Luwero,1231.2925148010254,113.10297279504907,452.1917190551758,66.8244284889936,377.7520065307617,67.38804442453076,166.68720626831055,46.236854671278614,234.66158294677734,40.592892862439854
Mityana,1272.3391380310059,110.9759691083052,455.5264587402344,61.93496936621199,406.52896881103516,65.86195412253393,205.01388931274414,51.25543623337048,205.2698211669922,38.92054142508837
Mubende,1209.4096336364746,100.03130126070003,368.7298812866211,44.46790346263214,455.0535430908203,66.35396120642139,164.78500747680664,37.108768196939565,220.84120178222656,47.42317944496646
Mukono,1397.945468902588,133.99795827677147,501.86558532714844,72.96533668675231,404.8762512207031,78.0061446229137,241.05366897583008,64.57048704571231,250.14996337890625,48.75660025351269
