spatial_unit,date,tmax_c,tmin_c
Acholi,2016-01-28,31.3725,15.6025
Acholi,2016-01-29,32.261250000000004,16.335
Acholi,2016-01-30,32.4825,16.12
Acholi,2016-01-31,33.21375,18.73375
Acholi,2016-02-01,34.19,20.165
Acholi,2016-02-02,33.23125,20.80375
Acholi,2016-02-03,35.38375,19.03875
Acholi,2016-02-04,35.7475,18.13875
Acholi,2016-02-05,36.76125,18.735
Acholi,2016-02-06,36.6825,19.0025
Acholi,2016-02-07,35.75,21.20125
Acholi,2016-02-08,35.61125,21.34
Acholi,2016-02-09,35.6,18.38625
Acholi,2016-02-10,34.7675,21.1225
Acholi,2016-02-11,36.0825,19.32375
Acholi,2016-02-12,35.66,20.85875
Acholi,2016-02-13,37.10375,21.215
Acholi,2016-02-14,36.28625,22.228749999999998
Acholi,2016-02-15,37.58625,20.84625
Acholi,2016-02-16,37.745,21.03625
Acholi,2016-02-17,38.25,20.0625
Acholi,2016-02-18,36.199999999999996,20.8975
Acholi,2016-02-19,38.40375,23.05375
Acholi,2016-02-20,37.4875,22.39875
Acholi,2016-02-21,36.95875,21.13625
Acholi,2016-02-22,37.2275,21.05375
Acholi,2016-02-23,38.16625,21.73875
Acholi,2016-02-24,37.96,22.27
Acholi,2016-02-25,38.585,21.88375
Acholi,2016-02-26,37.79875,22.9925
Acholi,2016-02-27,37.125,22.60625
Acholi,2016-02-28,38.4075,22.92
Acholi,2016-02-29,38.1125,22.39875
Acholi,2016-03-01,39.02125,22.955
Acholi,2016-03-02,37.685,21.9675
Acholi,2016-03-03,34.80875,24.02875
Acholi,2016-03-04,38.80875,23.29625
Acholi,2016-03-05,39.06125,21.743750000000002
Acholi,2016-03-06,39.625,22.21
Acholi,2016-03-07,34.5125,24.57
Acholi,2016-03-08,34.49,21.97
Acholi,2016-03-09,30.465,22.44375
Acholi,2016-03-10,35.47125,20.7125
Acholi,2016-03-11,38.33625,21.5275
Acholi,2016-03-12,38.9925,22.35
Acholi,2016-03-13,38.97,21.458750000000002
Acholi,2016-03-14,38.7575,20.33875
Acholi,2016-03-15,39.4975,21.46125
Acholi,2016-03-16,39.38375,20.695
Acholi,2016-03-17,39.4475,22.78125
Acholi,2016-03-18,36.04,23.52125
Acholi,2016-03-19,33.4225,22.7025
Acholi,2016-03-20,36.988749999999996,23.0175
Acholi,2016-03-21,35.93875,22.635
Acholi,2016-03-22,34.93875,22.45
Acholi,2016-03-23,36.37375,21.85125
Acholi,2016-03-24,37.15125,21.916249999999998
Acholi,2016-03-25,38.7825,22.47625
