model,feature_space,observations,rmse,mae,r2,skill_vs_training_global_mean,skill_vs_training_crop_mean,target_scale,result_scope,registered_primary_metric,rmse_ci_lower,rmse_ci_upper,mae_ci_lower,mae_ci_upper,global_skill_ci_lower,global_skill_ci_upper,crop_skill_ci_lower,crop_skill_ci_upper,crop
dummy_mean,raw,20,1.5784333159123307,1.5522337842235332,-46.69874026282716,0.04478534175069293,-45.798848184908636,raw,per_crop,False,,,,,,,,,simsim
dummy_mean,raw,28,1.1985324710773533,1.078034060196439,-0.4746810524117382,0.02272561581169097,-0.3974098602562737,raw,per_crop,False,,,,,,,,,sorghum
dummy_mean,raw,25,8.623580363479146,2.981308314158493,-0.014914973191988423,-0.003464764494683248,0.07176061503172548,raw,per_crop,False,,,,,,,,,soya_beans
dummy_mean,raw,26,5.7355017601136975,4.1656662109448455,-1.0920352968907454,-0.009590518726616981,-1.0104344147289823,raw,per_crop,False,,,,,,,,,sweet_potatoes
ridge,hybrid,27,0.8526264374708633,0.6447673442749949,-10.659317509825533,0.5227154205520469,-10.825701524326128,crop_centered,per_crop,False,,,,,,,,,beans
ridge,hybrid,28,0.846618268619061,0.674628398585653,-18.15792550319661,0.6606466347467437,-18.98106647211189,crop_centered,per_crop,False,,,,,,,,,groundnuts
ridge,hybrid,16,1.8143991295375137,1.5861561147197611,0.4258697592620758,0.7113278976777146,0.4475812707368333,crop_centered,per_crop,False,,,,,,,,,irish_potatoes
ridge,hybrid,28,1.4998946117122023,0.9901879836270092,-0.1596356112569588,-0.10280425396195869,-0.21578331316497867,crop_centered,per_crop,False,,,,,,,,,maize
ridge,hybrid,27,0.8006572245055024,0.6194742325667617,-2.8175390088771897,0.7034753382645236,-2.6558864642917124,crop_centered,per_crop,False,,,,,,,,,millet
ridge,hybrid,24,1.1254663626798538,0.817035105736052,-1.1601927668955283,-0.7604938824563856,-1.2288108901327446,crop_centered,per_crop,False,,,,,,,,,rice
ridge,hybrid,20,0.9352394840254644,0.6892225514572885,-14.976051964406098,0.6646531991460698,-15.42965158346831,crop_centered,per_crop,False,,,,,,,,,simsim
ridge,hybrid,28,0.9932670720199387,0.7336139441163612,0.10347313440273276,0.3288045822573278,0.04025408821959875,crop_centered,per_crop,False,,,,,,,,,sorghum
ridge,hybrid,25,9.089851924232887,3.5649118451174604,-0.019230426458199057,-0.11491180658481892,-0.03133172808445295,crop_centered,per_crop,False,,,,,,,,,soya_beans
ridge,hybrid,26,3.9913979572942053,2.961605462927233,-0.017563817031667206,0.5110634654114591,0.02636284956900825,crop_centered,per_crop,False,,,,,,,,,sweet_potatoes
ridge,hybrid,27,1.630649681209741,1.210410786401537,-43.06654731192464,-0.7457463927641899,-42.2544370108852,raw,per_crop,False,,,,,,,,,beans
ridge,hybrid,28,1.4647639887308983,1.1050128783369098,-60.04586080271057,-0.015809330605461414,-58.81067475983854,raw,per_crop,False,,,,,,,,,groundnuts
ridge,hybrid,16,2.2247210030927898,1.5339284115374276,-0.01775433938379134,0.5659994627034577,0.1694728261436892,raw,per_crop,False,,,,,,,,,irish_potatoes
ridge,hybrid,28,1.959931110913383,1.2707220445341039,-1.2395742485993257,-0.8830357106892954,-1.0759471927361406,raw,per_crop,False,,,,,,,,,maize
